date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2019-04-15,146,57,89,0,57,0,0,0.0
2019-04-16,142,58,84,0,58,0,0,0.0
2019-04-17,191,85,106,0,85,0,0,0.0
2019-04-18,181,85,96,0,85,0,0,0.0
2019-04-19,136,49,87,0,49,0,0,0.0
2019-04-21,27,12,15,0,12,0,0,0.0
2019-04-22,128,50,78,0,50,0,0,0.0
2019-04-23,227,127,100,0,127,0,0,0.0
2019-04-24,231,134,97,0,134,0,0,0.0
2019-04-25,233,125,108,0,125,0,0,0.0
2019-04-26,193,97,96,0,97,0,0,0.0
2019-04-28,21,12,9,0,12,0,0,0.0
2019-04-29,213,117,96,0,117,0,0,0.0
2019-04-30,183,82,101,0,82,0,0,0.0
2019-05-01,235,134,101,0,134,0,0,0.0
2019-05-02,229,124,105,0,124,0,0,0.0
2019-05-03,204,113,91,0,113,0,0,0.0
2019-05-05,27,12,15,0,12,0,0,0.0
2019-05-06,165,79,86,0,79,0,0,0.0
2019-05-07,210,146,64,0,146,0,0,0.0
2019-05-08,180,81,99,0,81,0,0,0.0
2019-05-09,242,134,108,0,134,0,0,0.0
2019-05-10,191,96,95,0,96,0,0,0.0
2019-05-12,17,12,5,0,12,0,0,0.0
2019-05-13,145,94,51,1,93,1,1,6.837142857143419
2019-05-14,219,108,111,0,108,0,0,0.0
2019-05-15,257,153,104,0,153,0,0,0.0
2019-05-16,255,153,102,0,153,0,0,0.0
2019-05-17,204,108,96,0,108,0,0,0.0
2019-05-19,22,12,10,0,12,0,0,0.0
2019-05-20,249,140,109,0,140,0,0,0.0
2019-05-21,231,121,110,0,121,0,0,0.0
2019-05-22,228,135,93,0,135,0,0,0.0
2019-05-23,254,153,101,0,153,0,0,0.0
2019-05-24,204,117,87,0,117,0,0,0.0
2019-05-26,28,12,16,0,12,0,0,0.0
2019-05-27,250,139,111,0,139,0,0,0.0
2019-05-28,188,106,82,0,106,0,0,0.0
2019-05-29,212,115,97,0,115,0,0,0.0
2019-05-30,222,114,108,0,114,0,0,0.0
2019-05-31,210,114,96,0,114,0,0,0.0
2019-06-02,17,12,5,0,12,0,0,0.0
2019-06-03,198,122,76,0,122,0,0,0.0
2019-06-04,186,105,81,0,105,0,0,0.0
2019-06-05,203,122,81,0,122,0,0,0.0
2019-06-06,151,101,50,0,101,0,0,0.0
2019-06-07,184,88,96,1,87,1,1,5.722857142856242
2019-06-09,14,12,2,0,12,0,0,0.0
2019-06-10,179,110,69,0,110,0,0,0.0
2019-06-11,221,122,99,0,122,0,0,0.0
2019-06-12,140,37,103,0,37,0,0,0.0
2019-06-13,242,136,106,0,136,0,0,0.0
2019-06-14,201,105,96,0,105,0,0,0.0
2019-06-16,11,5,6,0,5,0,0,0.0
2019-06-17,227,121,106,0,121,0,0,0.0
2019-06-18,216,108,108,0,108,0,0,0.0
2019-06-19,229,132,97,0,132,0,0,0.0
2019-06-20,215,114,101,0,114,0,0,0.0
2019-06-21,205,127,78,0,127,0,0,0.0
2019-06-23,29,12,17,0,12,0,0,0.0
2019-06-24,242,146,96,0,146,0,0,0.0
2019-06-25,198,107,91,0,107,0,0,0.0
2019-06-26,183,81,102,1,80,1,1,3.8457142857135977
2019-06-27,249,141,108,0,141,0,0,0.0
2019-06-28,206,110,96,0,110,0,0,0.0
2019-06-30,16,12,4,0,12,0,0,0.0
2019-07-01,125,108,17,0,108,0,0,0.0
2019-07-02,153,128,25,0,128,0,0,0.0
2019-07-03,254,141,113,0,141,0,0,0.0
2019-07-04,148,61,87,0,61,0,0,0.0
2019-07-05,191,95,96,0,95,0,0,0.0
2019-07-07,0,0,0,0,0,0,0,0.0
2019-07-08,240,153,87,0,153,0,0,0.0
2019-07-09,192,85,107,0,85,0,0,0.0
2019-07-10,235,127,108,0,127,0,0,0.0
2019-07-11,246,139,107,0,139,0,0,0.0
2019-07-12,209,113,96,0,113,0,0,0.0
2019-07-14,18,12,6,0,12,0,0,0.0
2019-07-15,112,23,89,0,23,0,0,0.0
2019-07-16,217,113,104,0,113,0,0,0.0
2019-07-17,207,120,87,0,120,0,0,0.0
2019-07-18,228,133,95,0,133,0,0,0.0
2019-07-19,106,76,30,0,76,0,0,0.0
2019-07-21,18,2,16,0,2,0,0,0.0
2019-07-22,163,60,103,0,60,0,0,0.0
2019-07-23,205,98,107,0,98,0,0,0.0
2019-07-24,238,133,105,0,133,0,0,0.0
2019-07-25,193,113,80,0,113,0,0,0.0
2019-07-26,120,46,74,0,46,0,0,0.0
2019-07-28,6,0,6,0,0,0,0,0.0
2019-07-29,219,127,92,0,127,0,0,0.0
2019-07-30,234,133,101,0,133,0,0,0.0
2019-07-31,194,88,106,0,88,0,0,0.0
2019-08-01,258,148,110,0,148,0,0,0.0
2019-08-02,181,87,94,1,86,1,0,-3.495714285714257
2019-08-04,15,12,3,0,12,0,0,0.0
2019-08-05,203,104,99,0,104,0,0,0.0
2019-08-06,127,25,102,1,24,1,0,-4.018571428571704
2019-08-07,205,107,98,0,107,0,0,0.0
2019-08-08,135,102,33,0,102,0,0,0.0
2019-08-09,230,137,93,0,137,0,0,0.0
2019-08-11,24,12,12,0,12,0,0,0.0
2019-08-12,207,99,108,1,98,1,0,-5.642857142857338
2019-08-13,255,142,113,0,142,0,0,0.0
2019-08-14,212,100,112,0,100,0,0,0.0
2019-08-15,147,43,104,1,42,1,1,6.66571428571342
2019-08-16,107,26,81,1,25,1,1,5.088571428570788
2019-08-18,16,1,15,0,1,0,0,0.0
2019-08-19,89,61,28,0,61,0,0,0.0
2019-08-20,173,100,73,0,100,0,0,0.0
2019-08-21,243,136,107,0,136,0,0,0.0
2019-08-22,233,128,105,0,128,0,0,0.0
2019-08-23,222,126,96,0,126,0,0,0.0
